entity_token,frequency,entity_class
cervical spinal cord injury,2,CONDITION
cognitive dysfunction,2,CONDITION
gabapentin,2,DRUG
liuwei dihuang pill,2,OTHER
presbycusis,2,CONDITION
shen (kidney)-yin deficiency,2,CONDITION
covid,2,CONDITION
complete spinal cord injury,2,CONDITION
fes,2,OTHER
np101,2,DRUG
imitrex,2,DRUG
acute migraine attack,2,CONDITION
istradefylline,2,DRUG
service dogs,2,OTHER
igf-1,2,DRUG
self-management guide,2,BEHAVIOURAL
guardian cap,2,OTHER
juvenile myoclonic epilepsy,2,CONDITION
cleft lip,2,CONDITION
lidcombe program,2,BEHAVIOURAL
calcium,2,DRUG
osteopenia,2,CONDITION
silkworms (bombyx mori l.) pupae extracts,2,OTHER
lack of self-compassion,2,CONDITION
disorder of empathy,2,CONDITION
self-compassion deficit,2,CONDITION
empathy disorder,2,CONDITION
"chronic, incomplete spinal cord injury",2,CONDITION
trust,2,PHYSICAL
isis 396443,2,DRUG
spinal muscular atrophy,2,CONDITION
rmp,2,PHYSICAL
standard physiotherapy,2,CONTROL
autoimmune disorders,2,CONDITION
transcutaneous tibial nerve stimulation,2,OTHER
dystrophinopathy,2,CONDITION
actipatch,2,OTHER
chronic subdural hematoma,2,CONDITION
hematoma,2,CONDITION
supratentorial craniotomy,2,CONDITION
transcutaneous electrical spinal cord stimulation,2,OTHER
cariprazine,2,DRUG
propiverine hydrochloride,2,DRUG
neurogenic detrusor overactivity,2,CONDITION
osteopathic manipulative treatment,2,OTHER
heparin,2,DRUG
coiled low-grade aneurysmal subarachnoid hemorrhage,2,CONDITION
significant hemorrhage burden,2,CONDITION
spina bifida,2,CONDITION
speedicath hydrophilic catheter,2,OTHER
pvc catheter,2,CONTROL
chronic inflammatory demyelinating polyneuropathy,2,CONDITION
cidp,2,CONDITION
ascorbic acid,2,DRUG
tocopherol,2,DRUG
antioxidant,2,DRUG
constipation,2,CONDITION
biofeedback,2,PHYSICAL
dyssynergic defecation,2,CONDITION
vegetative state,2,CONDITION
cholinesterase inhibitors,2,DRUG
severe arm paresis,2,CONDITION
robot training,2,PHYSICAL
hemiplegic cp,2,CONDITION
mild cognitive impairments,2,CONDITION
memory difficulties,2,CONDITION
mcimt,2,PHYSICAL
dementia care training with virtual reality,2,OTHER
hydrodissection,2,OTHER
abi,2,CONDITION
autologous incubated macrophages,2,SURGICAL
group acyw135 meningococcal conjugate,2,DRUG
plc,2,CONTROL
bvftd,2,CONDITION
temozolomide,2,DRUG
topotecan,2,DRUG
nbi-98854,2,DRUG
tardive dyskinesia,2,CONDITION
btx,2,DRUG
jaw muscle myalgia,2,CONDITION
homonymous hemianopsia,2,CONDITION
juvenile pilocytic astrocytomas,2,CONDITION
optic nerve pathway gliomas,2,CONDITION
ed,2,CONDITION
photobiomodulation,2,OTHER
cybersickness,2,CONDITION
eye mask,2,OTHER
earplugs,2,OTHER
intensive care,2,CONDITION
ketamine,2,DRUG
elective gynecological surgery,2,CONDITION
allodynia,2,CONDITION
motor imagery practice,2,OTHER
abt-888,2,DRUG
whole brain radiation therapy,2,RADIOTHERAPY
brain metastases,2,CONDITION
cardiovascular declines,2,CONDITION
arms-only-rt,2,CONTROL
sirolimus,2,DRUG
cutaneous angiofibromas,2,CONDITION
movement disorder,2,CONDITION
chorea,2,CONDITION
hereditary spastic paraplegia,2,CONDITION
hsp,2,CONDITION
tenecteplase,2,DRUG
generalized major motor seizures,2,CONDITION
"supervisory neglect, non-accidental trauma, brief intervention, and treatment referral",2,BEHAVIOURAL
ssris,2,DRUG
sensory integration therapy on balance and functional mobility,2,PHYSICAL
friedreich ataxia,2,CONDITION
frda,2,CONDITION
se,2,CONDITION
plexiform neurofibromas,2,CONDITION
protein substitute,2,OTHER
pku,2,CONDITION
early parkinson's disease,2,CONDITION
dtpa-hbv-ipv,2,DRUG
hib,2,DRUG
treatment-resistant schizophrenia,2,CONDITION
mind-s,2,BEHAVIOURAL
abe,2,CONDITION
motor-cognitive rehabilitation,2,OTHER
postural instability,2,CONDITION
gait disorders,2,CONDITION
esp block,2,OTHER
re,2,PHYSICAL
somnodent,2,OTHER
herbst appliance,2,OTHER
mild and moderate osa,2,CONDITION
zolmitriptan,2,DRUG
obstructive sleep apnoea syndrome,2,CONDITION
cntnap2 mutation,2,CONDITION
updated sound processor,2,OTHER
ozone,2,DRUG
chemotherapy-induced peripheral neuropathy,2,CONDITION
rosiglitazone,2,DRUG
clevidipine,2,DRUG
subarachnoid hemorrhage,2,CONDITION
psychoeducation session,2,BEHAVIOURAL
modified autoset device,2,OTHER
autoset device,2,CONTROL
vpap auto,2,CONTROL
affitope® pd01a,2,DRUG
visceral pain,2,CONDITION
caesarean,2,CONDITION
ropivacaine,2,DRUG
aoc 1001,2,DRUG
myotonic dystrophy type 1,2,CONDITION
dm1,2,CONDITION
ndx-1017,2,DRUG
postoperative agitation,2,CONDITION
depressive,2,CONDITION
exotropia,2,CONDITION
olanzapine,2,DRUG
tryptophan depletion,2,OTHER
lithium,2,DRUG
stereotactic body radiotherapy,2,RADIOTHERAPY
3dcrt,2,RADIOTHERAPY
radiotherapy,2,RADIOTHERAPY
chronic migraine,2,CONDITION
multisensory environment,2,OTHER
severe and profound intellectual disabilities,2,CONDITION
sham tavns,2,CONTROL
idiopathic restless legs syndrome,2,CONDITION
drug eluting stenting,1,OTHER
recurrent stroke,1,CONDITION
intracranial atherosclerotic disease,1,CONDITION
drug-eluting stent,1,OTHER
des,1,OTHER
stroke recurrence,1,CONDITION
medical treatment alone,1,CONTROL
symptomatic intracranial atherosclerotic disease,1,CONDITION
critically ill,1,CONDITION
high blood sugars,1,CONDITION
arts,1,OTHER
arts-based health education,1,OTHER
congestive heart failure,1,CONDITION
chronic obstructive pulmonary disorder,1,CONDITION
asthma,1,CONDITION
weight,1,CONDITION
cardiac,1,CONDITION
solian solution,1,DRUG
sb-649868,1,DRUG
noise induced situational insomnia,1,CONDITION
aggression,1,CONDITION
sbps,1,CONDITION
cannabinoid,1,DRUG
smartphone medical applications,1,OTHER
treatment dosage errors,1,CONDITION
resuscitation,1,CONDITION
medication errors,1,CONDITION
dosage error,1,CONDITION
smartphone application designed to calculate medication doses,1,OTHER
resuscitations,1,CONDITION
low-i̇ntensity combined exercises,1,PHYSICAL
early stage als,1,CONDITION
low-intensity combined exercises,1,PHYSICAL
preclinical ad,1,CONDITION
audiobooks for hearing loss (hl) app,1,OTHER
ce-certified phonak hearing aids,1,OTHER
hearing aid,1,OTHER
vero cell - derived inactivated japanese encephalitis vaccine,1,DRUG
jecevax,1,DRUG
jecevax-,1,DRUG
licensed vaccine,1,CONTROL
jevax,1,DRUG
licenced vaccine,1,CONTROL
antiretroviral therapy naive,1,CONDITION
human immunodeficiency virus type-1,1,CONDITION
abacavir,1,DRUG
dolutegravir,1,DRUG
lamivudine,1,DRUG
hla-b*5701 positive,1,CONDITION
dtg,1,DRUG
dual nucleoside reverse transcriptase inhibitor,1,DRUG
nrti,1,DRUG
hiv 1,1,CONDITION
symptomatic carriers for dmd or bmd,1,CONDITION
symptomatic carriers,1,CONDITION
infraorbital and infratrochlear nerve block,1,OTHER
bilateral infraorbital and infratrochlear nerve block,1,OTHER
subthalamic nucleus stimulation,1,OTHER
deep brain stimulation of the subthalamic nucleus,1,OTHER
copaxone(r),1,DRUG
ultrasound-guided percutaneous electrical nerve stimulation,1,OTHER
endoscopic surgery,1,CONTROL
radial extracorpeal shock wave therapy,1,OTHER
radial extracorporeal shock wave intervention,1,OTHER
head-point acupuncture,1,PHYSICAL
conventional body acupuncture,1,CONTROL
head-acupoints acupuncture,1,PHYSICAL
body-acupoints acupuncture,1,CONTROL
central nervous system tumors,1,CONDITION
tumorglow,1,OTHER
icg,1,OTHER
hypo,1,OTHER
severe renal impairment,1,CONDITION
hemodialysis,1,CONDITION
brain signal feedback paradigm,1,OTHER
"neural feedback approach with a closed-loop, real-time paradigm",1,OTHER
"hybrid, sequential motor learning protocol",1,OTHER
neutrally-triggered functional electrical stimulation (fes)-assisted coordination practice,1,OTHER
motor effective pathway training,1,OTHER
fes-assisted practice,1,OTHER
personal sound amplification products,1,OTHER
psaps,1,OTHER
complete or incomplete sci,1,CONDITION
muscle strengthening,1,CONTROL
stretching,1,CONTROL
balance and coordination exercises,1,CONTROL
traditional treatment,1,CONTROL
"treatment resistant depression, schizophrenia, and obsessive compulsive disorder",1,CONDITION
"severe depression,",1,CONDITION
treatment-refractory cases of schizophrenia and obsessive compulsive disorder,1,CONDITION
ocd,1,CONDITION
"severe depression, schizophrenia, and ocd",1,CONDITION
normal and high protein diets,1,OTHER
adiposity,1,CONDITION
high and normal protein,1,OTHER
high protein,1,OTHER
normal protein,1,CONTROL
phn,1,CONDITION
alglucosidase alfa,1,DRUG
fbt,1,BEHAVIOURAL
restrictive eating disorders,1,CONDITION
recombinant t cell receptor ligand,1,DRUG
rtl,1,DRUG
physical therapist (pt) supervised home programs,1,PHYSICAL
hip helpers® orthotic garment,1,OTHER
ad dementia,1,CONDITION
telemedicine system,1,OTHER
sas,1,CONDITION
interoperable telemedicine system,1,OTHER
sleep apnea syndrome,1,CONDITION
early and mid-stage dementia:,1,CONDITION
early and mid-stage dementia,1,CONDITION
motor symptoms,1,CONDITION
handwriting interventions,1,OTHER
micrographia,1,CONDITION
handwriting practice stimulus,1,OTHER
micrograpthia,1,CONDITION
diverging line cued handwriting intervention,1,OTHER
parallel line cued handwriting intervention,1,CONTROL
handwriting intervention,1,OTHER
intensive mobility training,1,PHYSICAL
"chronic, mild-to-moderate, traumatic brain injury",1,CONDITION
arbekacin sulfate,1,DRUG
ultrasound guided intracarpal hydro-dissection,1,OTHER
platelet rich plasma,1,DRUG
cathodal transcranial direct current stimulation,1,OTHER
refractory focal epilepsy,1,CONDITION
medically-refractory focal neocortical epilepsy,1,CONDITION
focal seizure,1,CONDITION
medically-refractory neocortical epilepsy,1,CONDITION
cathodal tdcs,1,OTHER
tetraplegia,1,CONDITION
vasotec,1,DRUG
pelvic floor versus abdominal muscle exercises,1,PHYSICAL
sleep disruption,1,CONDITION
sleep disturbance,1,CONDITION
in-home supportive technology,1,OTHER
in-home assistive technology,1,OTHER
loneliness,1,CONDITION
focused ultrasound-induced blood-brain barrier disruption,1,OTHER
interdisciplinary rehabilitation strategies,1,OTHER
swallowing disorders,1,CONDITION
swallowing complaints,1,CONDITION
vocal and speech disorders,1,CONDITION
multi-component treatment strategies,1,OTHER
multicomponent intervention programme,1,OTHER
nutritional counselling/dietary intervention,1,OTHER
information and communications technology intervention,1,OTHER
healthy aging lifestyle education programme,1,CONTROL
mobility disability,1,CONDITION
multidisciplinary delirium prevention strategy,1,OTHER
psychiatry,1,OTHER
addition of psychiatrists to daily icu rounds,1,OTHER
psychiatric evaluation,1,OTHER
psychiatric consultation,1,OTHER
multidisciplinary rounding approach including psychiatry within the icu team,1,OTHER
multidisciplinary approach,1,OTHER
square- stepping exercises,1,PHYSICAL
chronic post stroke,1,CONDITION
sedation regimens,1,OTHER
post-sedation delirium,1,CONDITION
different drug regimens,1,OTHER
early schizophrenia,1,CONDITION
inspiratory muscle training,1,PHYSICAL
chronic liver disease,1,CONDITION
post liver transplant,1,CONDITION
inspiratory muscle strengthening exercise,1,PHYSICAL
usual post-liver transplant care,1,OTHER
the usual post-transplant care,1,CONTROL
immune modulation therapy,1,OTHER
ert-naïve or ert-treated pompe disease,1,CONDITION
anti-recombinant human acid α-glucosidase,1,DRUG
anti-rhgaa,1,DRUG
conjugate meningococcal c (mncc) vaccine,1,DRUG
primary dtp/hib vaccination,1,DRUG
group c meningococcal conjugate vaccine,1,DRUG
mmr,1,DRUG
plain polysaccharide vaccine,1,DRUG
hearing protection video,1,OTHER
formal training,1,OTHER
training video,1,OTHER
ear plugs,1,OTHER
acute icu delirium,1,CONDITION
acute delirium,1,CONDITION
moderate and severe dementia,1,CONDITION
individual pain management,1,OTHER
individual pain treatment,1,OTHER
pregnant,1,CONDITION
watchman laa closure device,1,SURGICAL
warfarin,1,DRUG
non-valvular atrial fibrillation,1,CONDITION
thrombus,1,CONDITION
integrative group movement program,1,PHYSICAL
human placental-derived stem-cells,1,SURGICAL
unrelated and related cord blood,1,SURGICAL
malignant hematologic diseases,1,CONDITION
non-malignant disorders,1,CONDITION
human placental-derived stem cells,1,SURGICAL
umbilical cord blood (ucb) stem cells,1,SURGICAL
nonmalignant disorders,1,CONDITION
chemo- and immunotherapy,1,DRUG
ucb,1,SURGICAL
acupuncture treatment,1,PHYSICAL
fake acupuncture,1,CONTROL
neublastin,1,DRUG
sciatica,1,CONDITION
bright light treatment,1,OTHER
morning light treatment,1,OTHER
moderate to severe parkinson's disease,1,CONDITION
cigarette smokers,1,CONDITION
home visits,1,OTHER
phone calls,1,OTHER
smoking cessation group counseling,1,BEHAVIOURAL
home visit intervention,1,OTHER
transcutaneous stimulation,1,OTHER
mobility device use,1,OTHER
non-invasive spinal stimulation,1,OTHER
mobility devices,1,OTHER
schizophrenia spectrum,1,CONDITION
autism spectrum,1,CONDITION
personality disorders,1,CONDITION
scz,1,CONDITION
sad,1,CONDITION
bipolar disorder,1,CONDITION
bd,1,CONDITION
schizotypal personality disorder,1,CONDITION
spd,1,CONDITION
autism spectrum disorders,1,CONDITION
asd,1,CONDITION
borderline personality disorder,1,CONDITION
bpd,1,CONDITION
powerful tools for caregivers,1,BEHAVIOURAL
psycho-educational intervention for caregivers,1,BEHAVIOURAL
interferon γ-1b,1,DRUG
interferon-γ 1b,1,DRUG
muscle pain,1,CONDITION
impaired memory,1,CONDITION
2 day self-management program,1,BEHAVIOURAL
arp dvd program,1,BEHAVIOURAL
standard care,1,CONTROL
immediate versus standard antiretroviral therapy,1,OTHER
early versus standard timing of initiation of antiretroviral therapy,1,OTHER
early art,1,OTHER
cisplatin-induced ototoxicity,1,CONDITION
germ cell tumor,1,CONDITION
hepatoblastoma,1,CONDITION
osteosarcoma,1,CONDITION
malignancy,1,CONDITION
mild-moderate stage amyotrophic lateral sclerosis,1,CONDITION
structured patient education,1,BEHAVIOURAL
chronic obstructive pulmonary disease,1,CONDITION
heart failure,1,CONDITION
program of patient education,1,BEHAVIOURAL
physical training,1,PHYSICAL
abt-126,1,DRUG
cds,1,CONDITION
smokers,1,CONDITION
human placenta- derived cells,1,SURGICAL
vehicle control,1,CONTROL
spm 927,1,DRUG
partial seizures,1,CONDITION
cognitive-based rehabilitation platform,1,OTHER
instrumented wearables,1,OTHER
physical therapy exercises,1,PHYSICAL
innovative wearable technology,1,OTHER
multi-sensory feedback,1,OTHER
physical rehabilitation exercises,1,PHYSICAL
gamma frequency stimulation,1,OTHER
daily exposure to light and sound stimulation,1,OTHER
adjuvant,1,CONTROL
posttraumatic epilepsy,1,CONDITION
neurology-based collaborative care,1,OTHER
post-traumatic epilepsy,1,CONDITION
physician prehospital management,1,OTHER
severe blunt head injury,1,CONDITION
advanced interventions as provided by a physician at an accident scene,1,OTHER
severe head injury,1,CONDITION
rapid sequence intubation (rsi) airway management,1,OTHER
blood transfusions,1,OTHER
surgical procedures,1,SURGICAL
anticoagulation,1,DRUG
cabg,1,CONDITION
oral anticoagulation,1,DRUG
oac,1,DRUG
antiplatelet therapy,1,DRUG
isolated coronary artery bypass graft (cabg) surgery,1,CONDITION
anticoagulants,1,DRUG
antiplatelets,1,DRUG
sham tes,1,CONTROL
vero-cell-derived inactivated japanese encephalitis vaccine,1,DRUG
traditional mouse-brain derived vaccine,1,DRUG
je-mb,1,DRUG
mouse brain derived japanese encephalitis vaccines,1,DRUG
ixiaro vaccine,1,DRUG
bmjev,1,DRUG
cerebello-spinal tdcs,1,OTHER
neurodegenerative ataxia,1,CONDITION
neurodegenerative cerebellar ataxias,1,CONDITION
cerebellar ataxias,1,CONDITION
cerebellar anodal tdcs,1,OTHER
spinal cathodal tdcs,1,OTHER
neurodegenerative cerebellar ataxia,1,CONDITION
igf-i,1,DRUG
igf-i.,1,DRUG
moxibustion therapy,1,OTHER
telehealth group,1,BEHAVIOURAL
telehealth,1,BEHAVIOURAL
traditional dysphagia therapy,1,OTHER
chronic anorexia nervosa,1,CONDITION
family problem-solving therapy,1,BEHAVIOURAL
family problem solving therapy,1,BEHAVIOURAL
mild to severe adolescent tbi,1,CONDITION
"therapist-guided, face-to-face",1,BEHAVIOURAL
therapist-guided online,1,BEHAVIOURAL
"self-guided, online",1,BEHAVIOURAL
individual auditory cueing device,1,OTHER
apple ipod-shuffle,1,OTHER
individualised auditory cueing,1,OTHER
multi-modality approach,1,OTHER
ranirestat(as-3201,1,DRUG
aldose reductase inhibitor,1,DRUG
diabetic,1,CONDITION
sensorimotor polyneuropathy,1,CONDITION
internet-based self-help training,1,BEHAVIOURAL
internet-based guided self-help training,1,BEHAVIOURAL
discussion forum group,1,CONTROL
general anesthesia,1,CONDITION
ketamine general anesthesia,1,CONDITION
exergame balance training,1,PHYSICAL
traditional weight shifting training,1,PHYSICAL
balance training programs,1,PHYSICAL
exergame systems,1,PHYSICAL
weight-shifting training,1,PHYSICAL
rns® system responsive stimulation,1,OTHER
rns system,1,OTHER
refractory partial onset epilepsy,1,CONDITION
post covid-19 parosmia,1,CONDITION
post covid 19 parosmia,1,CONDITION
alcohol use,1,CONDITION
endurance exercise,1,PHYSICAL
high intensity endurance exercise,1,PHYSICAL
myhand,1,OTHER
active hand orthosis,1,OTHER
device training program,1,OTHER
symptomatic thromboembolism,1,CONDITION
thromboembolic disease,1,CONDITION
tranexamic acid,1,DRUG
total joint arthroplasty,1,CONDITION
outpatient physiotherapy,1,PHYSICAL
outpatient motor skills-based physiotherapy intervention,1,PHYSICAL
sham anodal tdcs,1,CONTROL
physiotherapy session,1,OTHER
physiotherapy treatment protocol,1,OTHER
early- to moderate stage multiple system atrophy,1,CONDITION
allogeneic cell therapy product,1,SURGICAL
homsc300,1,SURGICAL
allogeneic human oral mucosa stem cells,1,SURGICAL
homscs,1,SURGICAL
early to moderate stage multiple system atrophy,1,CONDITION
dual training,1,PHYSICAL
refractory multiple sclerosis,1,CONDITION
relapsing remitting ms,1,CONDITION
mild to moderate cognitive impairment,1,CONDITION
thalidomide,1,DRUG
alternating current brain stimulation,1,OTHER
transcranial alternating current brain stimulation,1,OTHER
gamma tacs on the posterior parietal cortex,1,OTHER
concussed,1,CONDITION
laryngeal dystonia,1,CONDITION
voice tremor,1,CONDITION
neurological voice disorders,1,CONDITION
essential tremor,1,CONDITION
voice dysfunction,1,CONDITION
gastrointestinal motility disorders,1,CONDITION
refractory gastrointestinal motility disorders,1,CONDITION
enteric neuropathy,1,CONDITION
bioresorbable polycaprolactone implant,1,OTHER
orbital injuries,1,CONDITION
titanium mesh,1,CONTROL
bioresorbable implant made of polycaprolactone,1,OTHER
cognitive impairment,1,CONDITION
cognitive impairments,1,CONDITION
social withdrawal,1,CONDITION
severe mental disorder,1,CONDITION
aerobic resistance training,1,PHYSICAL
online exercise video rehabilitation program,1,PHYSICAL
aerobic and resistance training using a latex resistance band,1,PHYSICAL
thera band® elastic band,1,PHYSICAL
aerobic exercise videos,1,PHYSICAL
individualized rtms,1,OTHER
polyethylene glycol 3350-electrolyte solution,1,DRUG
miralax,1,DRUG
environmental skill building program,1,BEHAVIOURAL
environmental skill-building program,1,BEHAVIOURAL
mild and moderate cts,1,CONDITION
mild and moderate carpal tunnel syndrome,1,CONDITION
branched chain amino acid,1,DRUG
moderate intensity exercises,1,PHYSICAL
aerobic exercise,1,PHYSICAL
unimodal (eeg) and bimodal (eeg-fmri) neurofeedback,1,OTHER
rehabilitation of memory deficits,1,OTHER
motor disabilities,1,CONDITION
rehabilitation of verbal memory with the rehacom program,1,OTHER
combined rehabilitation,1,OTHER
motor rehabilitation path with the rehacom program,1,PHYSICAL
only motor rehabilitation course,1,CONTROL
combined cognitive / motor rehabilitation,1,OTHER
rehabilitation alone,1,CONTROL
neurocysticercosis,1,CONDITION
gba-associated parkinson's disease,1,CONDITION
parkinson's disease with mutations of the glucocerebrosidase gene,1,CONDITION
cannabidiol,1,DRUG
robot rehabilitation exercise training,1,PHYSICAL
robotic stroke therapy,1,PHYSICAL
robotic rehabilitation,1,PHYSICAL
robotic rehabilitation training,1,PHYSICAL
chinese medicine powder,1,OTHER
acw135 polysaccharide vaccine,1,DRUG
"meningitis a, c and w135",1,CONDITION
mencevax acw polysaccharide vaccine,1,DRUG
"men a, c and w135",1,CONDITION
men a,1,CONDITION
vaporized placebo cannabis,1,CONTROL
remotely controlled mandibular positioner,1,OTHER
maxillomandibular advancement surgery,1,CONDITION
maxillomandibular advancement (mma) surgery,1,CONDITION
mma surgery,1,CONDITION
remote controlled mandibular positioner,1,OTHER
mma,1,CONDITION
emboli,1,CONDITION
post-dilation balloon,1,SURGICAL
integrated embolic filter,1,SURGICAL
novel carotid stent ii,1,SURGICAL
carotid artery stenosis,1,CONDITION
atherosclerotic or post cea restenotic lesion(s),1,CONDITION
tia,1,CONDITION
carotid lesion,1,CONDITION
combined speech therapy,1,OTHER
conventional speech therapy,1,OTHER
combined language therapy,1,OTHER
rehabotics medical technology corporation (rmtc) finger-hand robot,1,OTHER
rmtc finger-hand robot,1,OTHER
robot assisted treatment,1,OTHER
conventional treatment,1,CONTROL
task oriented bi-manual training,1,OTHER
rmtc robot system,1,OTHER
convention rehabilitation treatment,1,CONTROL
triamcinolone,1,DRUG
mononeuropathy,1,CONDITION
mild to moderate cts,1,CONDITION
low level laser therapy,1,OTHER
nemes,1,OTHER
muscle strength and jump training program,1,PHYSICAL
training,1,PHYSICAL
strength and jump training,1,PHYSICAL
traditional swallowing therapy,1,OTHER
neuromuscular electrostimulation,1,OTHER
sham- nmes,1,CONTROL
mild dysphagia,1,CONDITION
severe dysphagia,1,CONDITION
no swallow exercises,1,OTHER
swallowing exercises,1,OTHER
standard speech therapy,1,OTHER
active nmes,1,OTHER
speech therapy,1,CONTROL
sham nmes,1,CONTROL
dysphagic,1,CONDITION
iloperidone,1,DRUG
ischemic schizophrenia,1,CONDITION
vestibular migraine,1,CONDITION
4ap,1,DRUG
vestibular migriane,1,CONDITION
targeted temperature management,1,OTHER
ultra-early ttm,1,OTHER
iph,1,CONDITION
visual and color vision pathologies,1,CONDITION
retinal pathologies,1,CONDITION
posterior fossa lesions,1,CONDITION
ischemia,1,CONDITION
aerobic dance training with home practice,1,PHYSICAL
simple stretching,1,CONTROL
precision gait retraining,1,PHYSICAL
sensor-based mobile pelvic assist device,1,OTHER
mpad,1,OTHER
tremor,1,CONDITION
freezing in the subthalamic region,1,CONDITION
mobile health (mhealth) app,1,OTHER
care-well app,1,OTHER
locally-advanced or metastatic alk-positive solid tumors,1,CONDITION
anaplastic lymphoma kinase (alk)-positive locally advanced or metastatic solid tumors,1,CONDITION
narcoleptic,1,CONDITION
cataplexy,1,CONDITION
upper-airway and breathing control therapies,1,OTHER
supplemental oxygen,1,OTHER
oxygen,1,OTHER
sleep-wake disturbances,1,CONDITION
prim-dj2727,1,DRUG
